twt,label
@mangoreyy Burnout dan stress aku banyak sedih dan stressnya jujur ,gangguan
Apa gw burn out ya ngurus semua tanpa dibantu seorang pun. Mau makan apa aja gue harus mikir seorang diri besok mau dapat uang darimana lagi itu semua yang bikin gue capek dan ngefek ke kiwa. Gue sampe bilang ke dia jangan deket deket mama dulu jangan sentuh mama karena mama ini bahaya buat kamu,gangguan
entah depresi entah burn out yg pasti gw ga mood ngapa ngapain,gangguan
Rasa-rasanya aku burnout. Butuh healing soon ,gangguan
Mau somay mie rendang warkop mau ketoprak . gw kaya burnout parah hari ini. Mau menghilang please,gangguan
asli malam ini bener bener burnout stress baca berita buruk dari pemerintah. bener bener muak mau teriak ga bisa. iseng ngecek tanggalan ternyata memang didukung besok perkiraan haid. pantesan..,gangguan
Burnout banget capek mampus ,gangguan
apakah ini burnout? capek banget rasanya pengen nangis seharian aja,gangguan
lagi burnout banget ga mau ketemu banyak orang tapi tiap hari harus ke kampus nemuin dosen,gangguan
burn out entah kenapa susah tidur juga. tapi ga paham kenapa.,gangguan
Hari ini burn out banget,gangguan
Gila.. Burnout parah sampe sampe kerjaan gw kacau .. gimana caranya biar ga burnout...,gangguan
padahal gue dulu excited banget sama beach banner tapi sampe sekarang belum gue mainin tuh cardnya walaupun tiap hari free burnout mulu perasaan,gangguan
Bener bener cape yang burnout banget :( gapaham lagi. Udah mau 5 tahun tuh rasanya bener bener overwhelmed cape sama kerjaan yang ga ada abisnya dipaksa on terus tiap hari begadang 24/7.,gangguan
Burnout kerja ini udah parah banget kayaknya aku perlu ke psikolog sih atau minimal main ke pantai dah menyentuh alam.. Apa hiking masuk hutan aja nih sekalian... ️,gangguan
kalo lagi stres burn out sampe sakit gini malah kangen kuliah,gangguan
demi allah burnout banget,gangguan
pengen nangis burn out banget. aku capek.,gangguan
Yah mulai burnout lagi ini kayaknya,gangguan
semester 4 aja gw udah burn out kayak keinginan ga lanjut gede banget tapi yaudah lah jalanin aja dulu,gangguan
Burnout jadi gak nafsu makan ,gangguan
 kenapa ya fase kehilangan motivasi kuliah itu seringnya terjadi di semester 5? kayak burn out banget di semester ini,gangguan
please hari ini lagi burnout parah,gangguan
Sumpah udah ditahap kerjaan banyak tapi ga konsen sama sekali burnout banget yang tiap mau berangkat cemas cemas universe pas balik rasanya capek kayak abis kerja rodi️ Padahal seharian ga ngapa ngapain beneran cuma duduk doang depan laptop bengong bingung mau ngerjain apa saking banyak nya,gangguan
capek ya ospek apalagi tugas ospeknya mepet deadline banget dan itupun tugas dadakan capek sampe lupa rawat diri bangun tidur pun udah burnout dan lemes ,gangguan
burn out banget siang ini capek ngadepin laptop,gangguan
kayaknya lagi burnout banget sampe bisa nangis dikit baca ini https://t.co/41Jius2ovp,gangguan
ini burnout terparah si sampe nangis kejer pusing banget belum juga day 1,gangguan
akhirnya merasa sangat burnout dengan rutinitas harian ini,gangguan
day 2 kena mental di semester 3.... bener bener burn out tiap malem pasti nangis....,gangguan
aku sedang burnout. rasanya mau ngapa-ngapain tuh kayak gamau . capek aja gitu hawanya.,gangguan
Burnout lelah capek bodoh merasa tidak berguna,gangguan
kayaknya gue udah stres dan burn out deh soalnya tadi mimpi sesek nafas,gangguan
Kalau lagi burnout sama kerjaan gini rasanya kayak pengen nangis,gangguan
gue saking burnout nya sampe ga ke urus semuanya karena di satu sisi gua harus tetep ngerjain skripshit di dimensi lain gue juga lagi preklinik ,gangguan
cape banget demi ngerasa burnout,gangguan
seminggu ini ngerasa burnout parah,gangguan
Burnout banget. Kehilangan semangat untuk ngapa-ngapain. Butuh main. Butuh jalan-jalan. Butuh jajan dan makan enak.,gangguan
Capek hidup pengen istirahat yang lama,gangguan
Pikiran Introvert Kadang mikir mau mengakhiri hidup kesepian ini tapi kalau rame gue gampang cape,gangguan
capek banget hidup di keluarga ini beneran bikin sakit jiwa,gangguan
mungkin yang bikin saya capek sama hidup adalah rasa marah ke orang orang yang jahat sama saya tapi gak pernah bisa saya luapkan dan gak punya orang yang bisa support hidup saya. dan semua ini selalu saya maafkan dan menganggap semua baik baik aja/gapapa. padahal semua ini buat saya muak!!,gangguan
Hidup gw kok rasanya kaya cape banget ya,gangguan
@mekbdi Cape jalanin hidup ️,gangguan
kalau udah putus asa gini in the end of all of perduniawian ini aku cuma mau masuk surga please cape gila sama hidup,gangguan
Ga pernah sestress ini ini gimana gue mau sembuh deh tidur aja ga bisa gue jujur udah gatau mau ngapain dalam hidup ini sparknya beneran udah ilang cape nangis juga ga bisa kalo gue bisa nangis berarti masih baik aja ini bahkan sampe ga bisa nangis gue udah gila kayanya,gangguan
capek hidup sama kepala yang berisik terus terusan,gangguan
Aku udah capek hidup asli. Ini jam tayangku di dunia masih lama kah? ,gangguan
aku benci banget dimana aku jadi anak pertama aku capek hidup sebagai anak pertama aku paling banyak berkorban tapi aku jg yg paling banyak dirugikan,gangguan
@cheeky_ballz Capek banget hidup.,gangguan
ARGH PEN MATI AJA. CAPEK BANGET HIDUP DI RUMAH DI KAMPUS DI DUNIA SOSIAL. FUCK THIS LIFE.,gangguan
Kenapa ya.. tiba-tiba capek banget sama hidup.,gangguan
cape banget sama hidup ga dijalanin salah dijalanin makin bener salah.. kalau doa minta umur pendek bakal dikasih ga sih sama Tuhan?‍,gangguan
Lagi capek banget sama semua nya Teman keluarga hati perkuliahan pengen jeda rasanya buat hidup kayak ga kuat buat ngadepin nya mood juga lagi ga bagus ngerasa ga berdaya banget Agustus ga banget tapi mau Gimana semuanya hari di jalanin di nikmati,gangguan
Gua cape hidup,gangguan
muak banget hidup. baru juga ada harapan buat ngelanjutin hidup. ada aja yang bikin gue males hidup. mau mati aja dah ah cape banget gue,gangguan
beneran lagi cape banget sama hidup ,gangguan
Aku baru pertama kali saking marahnya sampe nangis tadi kayak capek banget mau hidup doang juga,gangguan
aku cape banget udah gak minat hidup,gangguan
Bunuh aja lah aku capek banget aku hidup kaya gini,gangguan
cape banget sama hidup ini kayak semua orang ga ada perduliin gue. lagi sakit gini pas sampe rumah emak gue malah yang di tanya temen gue padahal anaknya lagi sakit tapi nanya mulu soal temen gue yang sementara ini numpang di gue,gangguan
sebenernya ini cobaan hidup mau sampai berapa lama ya nyiksa gua gini? gua capek banget  beneran capek gua udah ga ada semangat hidup. semua masalah datang mulu datang berhenti kenapa sih gua capek jadi anak tengah capek,gangguan
Capek banget hidup kayak begini. yang gampang sakit lah alergi kambuh meski sengaja atau engga. Obat lagi obat lagi ‍‍,gangguan
kalo lahir lagi aku gamau jadi anak pertama gamau...ga kuat hidup capek banget.. tapi aku masih mau liat deupo..,gangguan
Cape banget hidup,gangguan
Aku udah cape banget hidup kalo mati di tangan sendiri gimana ya hmmm,gangguan
udahan liburannya mulai capek lagi capek banget hidup ini ,gangguan
Aku Udah cape aja sama hidup,gangguan
udah lumayan lama aku ga nge tweet lagi. Iya selama itu aku emang lagi hopeless banget. Ngerasa cape bgt. Ngerasa bener2 hidup jahat bgt. Pokonya cape hancur jadi satu,gangguan
capek banget hidup banyak pikiran gini ya,gangguan
Lagi ngerasain di titik terendah hidup ga ada gunanya cuman bisa minta buat makan jajan sendiri pun minta apa apa harus minta dulu cape ga berguna banget,gangguan
udah cape banget hidup ga ada yang peduli juga kalo gua mati ,gangguan
@jevdraz udah cape banget jalanin hidup ini jadi ga excited,gangguan
Hidup aja udah capek,gangguan
@tanyarlfes hidup emang cape banget jujur tapi kalo dipikirin terus tambah pusing mending banyakin ibadah biar siap pas dijemput umur ga ada yang tau.,gangguan
hidup akhir akhir ini isinya cuma sedih sama cape doang,gangguan
Ya Allah capek banget banget rasanya mau nyerah aja benci banget sama hidup gua yang kaya gini .,gangguan
Boleh ga sih nyerah? Capek. udah muak banget hidup,gangguan
Capek nangis terus capek hidup seolah olah tidak ada apa apa kenyataannya memang diri kita hanya kita sendiri yang mengerti.,gangguan
cape nangisin hidup,gangguan
gue udah di titik cape yang paling cape selama hidup gue,gangguan
Capek segalanya ya Tuhan kenapa aku harus hidup,gangguan
Capek banget hidup.. Justru aku merasa hidup di tempat yang bikin aku insecure,gangguan
pengen tidur tapi ga usah bangun bisa ga sih sumpah cape banget hidup kaya gini terus ,gangguan
tangan gua sampe merah mukul mukul diri sendiri. gua sedih banget lagi ultah kaya gini ada aja cobaan hidup gua. orang tua pada ga bisa di harepin gua capek,gangguan
Kill me please udah capek juga hidup,gangguan
Boleh ga sih bunuh diri ??? Dosa ga sih ?? Rasanya capek banget dengan semua ini Capek ngurus anak yang ga ada habisnya Capek sama suami Capek kurang duit terus Malu dan minder di sekolah semua ini membuatku minder dan ga pengen lanjutkan hidup,gangguan
hidup makin lama makin capek ya,gangguan
gw dress up as myself dan elaborate ke kaka spv on how i view myself as a hero cause i tetep bertahan hidup ampe skrg even tho i tried to kms a few times already yap yap yap gw membantu diri gw dari yg depressed asf menjadi diri gw yg skrg yap yap yap im my own hero https://t.co/LEioUEjliQ,gangguan
jujur ni anak depresi bgt pdhl dia nya aja di sby liatin dia di tiktok aja pdhl,gangguan
ternyata mengakui kalo depresi itu gapapa,gangguan
ternyata ngobrol sama orang yang sama-sama ngerasain depresi dan sudah berobat itu ngebantu bgt makasih,gangguan
bawa beban seberat ini gila pantesan depresi,gangguan
aku depresi dikit liat skor tryout ekonomiku,gangguan
gara-gara fase skripsi gw ngedevelop depresi yg sekarang bakalan ada terus di tiap permasalahan baru.,gangguan
Due to health issues malming kali ini sy tdk ke kafe/mall utk hangout atau sekadar nongki dg teman. Ada ulasan bagus terkait dg trend bed rotting atau demam ranjang in Bahasa. Bahwa memang Gen Z dihadapkan pd passive activity and depression is real. https://t.co/D7Embrxi45,gangguan
YaAllah hamba depresi https://t.co/C8yUaI3GA3,gangguan
@tanyarlfes Aku sering kayak gini ketika episode depresi. Kadang meskipun ga ada masalah berat ya kepikiran mau udahan. Karena merasa hidup udah ga ada artinya ga punya cita-cita keinginan ambisi. Capek sedih banget tapi ga tau sedihnya kenapa. Yang aku lakuin? Kontrol ke poli jiwa.,gangguan
bisa ga ni gwe achived target 1.200+ anjg stress berat depresi tertekan pemerintah kntl,gangguan
Ok tinggal meninggal skrng gua depresi,gangguan
Selalu berputar di tahap berduka denial anger bargaining depression dan acceptance,gangguan
ya allah berita buruk lagu apa itu anjingggggg depresi gue dengerinnya,gangguan
Baru kali ini takut buat baca buku WKWKWK. Bismillah jangan depresi karena buku,gangguan
Salah satu hal yang membuatku menyesal benci marah frustasi depresi adalah fakta bahwa aku seorang pengecut yang masih tidak berani berkorban nyawa demi kebaikan orang-orang yang seharusnya kubahagiakan.,gangguan
Udah depresi aslinya Cuma ketolong fore https://t.co/FfAIh4d9lU,gangguan
Maaf ya kalo buat kalian para penyintas depresi khususnya nyusahin kalian. Gue gak maksud untuk membela diri/mereka I know yg dilakuin salah tp kita gatau kondisi mereka saat ambil keputusan tsb gimana. Maaf ya sekali lagi.,gangguan
Tiap ada berita suicide gue jadi takut banget baca komen2nya. Org depresi berat mikirin diri sendiri aja udah susah disuruh mikirin bundir yg bener gimana di tempat mana biar gak nyusahin orang katanya. Gue sedih bgt bacanya.,gangguan
@kxhione @masjalah Coba ditelusuri dulu Kak gak bisa tidurnya karena masalah fisik atau psikis. Klo lagi gak ada masalah pikiran juga lagi gak ada gangguan lalu gak bisa tidur mungkin perlu konsultasi ke dokter. Tapi klo gak bisa tidurnya karena masalah pikiran entah stress atau depresi,gangguan
@Ceanoooo dan gak keluar kamar sseminggu #depresi,gangguan
kok ak sad and depressed trs sih,gangguan
mamaku takut aku depresi,gangguan
craving spicy food:( Semakin sedih stress depresi semakin pedes level spicy-nya:(,gangguan
PENGEN DRUNKKK DRUNK DRUNK tp klo sendiri kaya org depresi gamau sendiriii tunggu aku di solo,gangguan
mayan gak depressed dari awal https://t.co/0KbG4ShX1o,gangguan
Yang pertama kali okelah bikin depresi kedua kali bikin mental makin ancur. Tapi yang ketiga kali? Udahlah capek. Gue gamau jadi pihak yang excited sendiri di pertemanan ini wk,gangguan
gua jadi males buat keluar besok depresi.,gangguan
entah depresi entah burn out yg pasti gw gk mood ngapa2in,gangguan
@justunknowbro Stres tersembunyi itu stres yang nggak kamu sadari langsung seperti kekhawatiran dari rutinitas harian tekanan kerja atau masalah kecil yang menumpuk tanpa diselesaikan. Depresi ringan (dysthymia) adalah perasaan sedih atau hampa yang berlangsung lama (minimal 2 tahun) tapi,gangguan
@teenauger Pernahnya depresi gelisah sesak nafas gara gara dia,gangguan
Sebenarnya dah seminggu ini mikir keras apakah aku harus balik lagi minum obat depresi? Tp aku udh 5 thn gak minum obat itu lagi stlh konsul ama dokter ahli tp kayaknya depresi itu muncul lagi. Tuhan pengen ngilang rasanya,gangguan
Secara batin gue tersiksa secara ekonomi gue kacau secara mental gue depresi tapi secara fisik gue lapar pengen mie ayam Tamplate,gangguan
hanya karena takut menyakiti orang gue ga punya boundaries terus gue mikir ini kalo gue gini jangankan buat bahagia buat gak panik aja pasti gak bisa hidup isinya dengerin orang jual kesedihan aja kayak i was so impressed by how people facing depression &amp; itu looping,gangguan
Gw ga nafsu makan deh . Kenapa ya curiga bakal depresi buat beberapa hari kedepan,gangguan
hdh sumpah klo tbtb nangis gini knp sih depresi kah,gangguan
kayaknya gw depresi bnrn dah anjg,gangguan
(Bangun) (inget) (depresi) (tdur lg),gangguan
@thatonequietgal @UGM_FESS Sama nder. Padahal sebelum kkn aku salah satu yang paling kontribusi dalam hal yang berbau kelompok. Pas kkn karena udah benci + depresi jadinya beban dan gk bisa mikir dan dibenci banyak orang. Tae memang.,gangguan
rasanya bener2 depresi sama pemerintah skrg. gara2 ekonomi terpuruk skrg nyari klien juga susah bgt. dapet klien 1 aja udah alhamdulillah. sedih bgt ya allah.,gangguan
bisa bisa el depresi udh luka brp kali tp tetep dia yg dianggap salah karna gabisa ngerti wkwkwk,gangguan
@awanarchive Aku 6 hari yg lalu kena pecat sepihak atas hal yg bukan salahkuaku depresi udh 3 hari gak makan krn sedih cari kerja susah baru daftar kuliah jg tp ga nyangka bakal ngalamin hal ini putus asa bgt bapak 2 bulan yg lalu jg kena PHK kasih alasan aku buat ttp hidup pliss.,gangguan
@tanyakanrl Kelelahan stress depresi. Mungkin karna faktor itu kak Aku tau kamu kuat tapi ga semua harus kamu simpan sendiri.,gangguan
sepertinya masa non pmoku sudah dimulai lagi semoga bisa bertahan lama sampe ntar depressed down lagi,gangguan
@cemburuya Mm maaf si jujur aku pernah dititik kata tidak itu dihapus rasanya semua hal negatif menumpuk menjadi depresi walaupun aku pribadi taat beribadah dititik itu cuma mikir udah malas banget hidup tapi Alhamdulillah udah membaik namanya juga kena gangguan kecemasan dari buly,gangguan
aku bener2 heran soalnya meskipun agamaku belum sempurna tapi in syaa Allah bisa dipastikan aku SANGAT jauh dari hal hal spt itu kalau aku pribadi alhamdulillaah nya ga berniat mengakhiri hidup tapi aku depresi juga sih pada akhirnya (didiagnosa oleh psikolog tentunya),gangguan
yaallah aku depresi,gangguan
Bakal gua bales masa masa full depresi dari lahir ini sesudah nikah nanti. Gua beli harga diri lu semua yg pernah ngerendahin gua njinggg (semoga aja ada duitnya),gangguan
EH JUJUR knp bru mulai skrg bcs gw bru bangkit dr depresi selama depresi bisa makan lebih banyak dr biasanya. Yh doain aja gw konsisten sm dietnya ini,gangguan
Tiap kali di fase depresi kaya gini pasti gw shinra tensei semua org di sekitar gw wkwkwkw Kadang nyesel kadang mampus2in diri sendiri ngerasa pantes ditinggal &amp; dikucilkan kyk mati mampus lu ahahahahahahaha,gangguan
gw sedih bgt mama gw nangis tp gw gabisa ngapa ngapain,gangguan
@mireiclemaya Udh bukan gelisah inimah tremor,gangguan
Sedih banget sedih banget sedih banget,gangguan
Gelisah bgt kalo mau ngecas laptop,gangguan
kakak kakak itera! kalian ada gasi yang temenan tapi ga satu tpb? sender sedih ga satu tpb sm temen sender takut ga klop sm yg satu tpb humm:(,gangguan
Gelisah banget rasanya ada yang bisa saya banting?,gangguan
otak gue dari seminggu kemarin penuh banget to the point i can t even cry i don t know how terus nonton howoo on their last day of d show i m crying so hard sedih tapi sedikit lega karena bisa nangis tapi sedih banget. i m gonna miss them sm https://t.co/LNJxveA7tT,gangguan
cht ini bnr² bkin gua nangiss sedih bgt pdhl gua yg bolak-balik naro cv WKWKWK https://t.co/Qe2rk2io9M,gangguan
gue masih bingung knp ya kita udh mikir berat buat bikin artikel pas keterima malah kita yg harus bayar? aaa sedih,gangguan
kenapa kalo lagi pms tuh ada aja yg dibikin sedih ya kayak smua hal gw sedihin gt padahal harusnya biasa aja. trs jd inget kejadian2 sebelumnya yg bikin sedih,gangguan
pls pls kasi aku semangatt sedih banget rasanyaa,gangguan
rangkum disini aja deh 1. minggu kemaren adalah minggu terakhir magang dannn ya banyak gabutnya HAHAHAH 2. jumat kemaren terakhir magangg aaaaa sedih bangettttt apalagi pisah sama rachel kaya.... setiap hari ketemu dan ada aja yang diobrolin sekarang ga ketemu lagii :(((,gangguan
dia yg sama siapa gw yg bingung cemburu gelisah galau merana aduuhhh seenggaknya buat story kek biar gw tau lu masih hidup.,gangguan
@leesangxwon mungkin klo itu krn dah kebiasaan mandii kakk jd klo gk mandi kek gelisah berat gtu,gangguan
ADuh bINGUNG MAU KETAWA APA SEDIH.,gangguan
DEMI ALLAH SEDIH BGT SUMPAH SEDIHH https://t.co/scYRsU29Fm,gangguan
Sedih bgt nangis nih,gangguan
sedih bgt diboongin terus..,gangguan
Aku yang sedih karena beberapa hari ini temen-temenku suka tiba-tiba bilang makasih terus ngilang gitu aja. Pas aku tanya kenapa? Kenapa tiba-tiba bilang makasih? Terus akunnya ilang. :{{{,gangguan
@ifanahlaziraf gelisah kalo di rumah,gangguan
Kayak jujur selalu setiap pulang les sekarang selalu sedih ga semangat dan murung,gangguan
Hari ini 109272636278x lebih sedih dari biasanya,gangguan
@munvess Quality time sama pacarku dari hari jumat rasanya sedih banget kayak harus ldr lagi tadi pas pisah kayak huhu gamau :(,gangguan
@shkassz Iih kenapa sedih padahal tujuh bulan ini kamu keren banget. Aku lihat sendiri gimana kamu berusaha dan nggak nyerah dan as always kamu keren parah,gangguan
semua bisa bahagia semua bisa sedih semua bisa hilang tapi ingat semua itu takan pernah bisa dirasakan tanpa hendak alloh,gangguan
ㅤ makin kesini makin sedih. kayaknya harus istirahat dulu. baca beberapa judul berikutnya pun terasa berat. emosi dari cerita authornya nyampe banget ke aku. ikutan sedih. wawancara selanjutnya bareng narsum2 lain juga kayaknya bakal banyak hal2 yang sedih. ㅤ,gangguan
kamera belakang gw kambuh lagi ga bisa di pake karena jatuh bisa di pake buat ig doang dan biasanya dia nanti tiba tiba bisa lagi tapi gw gelisah deh yg skrg takut ga bisaa balik. apakah saya harus service????,gangguan
Kalo aku meninggal ada yang sedih ga ya? Orang yang bilang pernah sayang sama aku aja waktu aku kecelakaan ga peduli,gangguan
sebenernya sedih tuh yaudah kayak mereka bakal balik dengan yg makin sehat makin seneng makin bisa istirahat cuma vibesnya mereka bener bener takut ditinggal yg bikin sedih tuh itu https://t.co/fgsTddCgiF,gangguan
@starinosaku huhu sedih banget emang ga suka di fase ini plis,gangguan
bisa apa apa sendiri gak ya...jujur... sedih.. bgt...,gangguan
sumpah barusan cerita ke bapk soal punya utang dan ada yg dateng kemarin besok dateng lg beliau dgn ekspresi sedih yg ga percaya sumpahh astagaaa ga mau cerita karna takut beliau kepikiran dan beneran sekarang apa yg ku pikirin,gangguan
DEMI TUHAN AKU SEDIH BANGET BANGET BANGET BANGET.........,gangguan
jangan suruh ak berhenti sedih orang yang terakhir ayah ngobrol itu aku dan kata kata terakhir ayah adek maaf ya :(,gangguan
sedih sedih sedih jelek bgt sumpah https://t.co/w5mpoDZNVK,gangguan
Entah kenapa sedih banget,gangguan
